
[TEST CONDITION]
CondName,バッテリ温度特性試験20210227
ModelID,21
Average,0
CheckDut,FALSE
AutoFine,FALSE
DateTime,2021/02/27,21:40:39
Operator,米山まうむ
Notes,運用に向けてバッテリの温度特性を測定する
運用時の消費電流を鑑み，0.1C放電で行う
なおこんなに運用直前にやることではないので，次期プロジェクトの人間はもっと早い段階で行うことをお勧めする
BatteryName,UF103450P
NominalCapacity[mAh],1800.0
NominalVoltage[V],3.70000
Volume[ml],0.10
Weight[g],38.30
SoftOvp[V],4.40000
SoftUvp[V],2.50000
SoftOah[%],110.00000
SoftOtp[°C],60.00000
DeltaT[s],10.00000
DeltaV[V],0.10000
DeltaI[A],0.10000
ImpRange[ohm],0
Frequency[Hz],1000
AutoRange,FALSE
AfterCharge,FALSE
AfterChargeRest,FALSE
AfterDischarge,FALSE
AfterDischargeRest,FALSE
CapacityRate_C[%],OFF
CapacityRate_D[%],OFF
Impedance_C[ohm],OFF
Impedance_D[ohm],OFF
SeqInfoName,

[CHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC-CV
ChargeTime[s],0
RestTime[s],0
Current[A],0.00000
CvVolt[V],0.00000
CvTime[s],0
ItCurrent[A],OFF
ItTime[s],OFF

[DISCHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC
DischargeTime[s],43200
RestTime[s],0
Current[A],0.18800
CapacityVolt[V],3.70000
CutoffVolt[V],2.75000

[DISCHARGE MONITOR]
TimeElapsed[s],StdState,OpnState,LowRange,Capacity[mAh],Power[Wh],Curr[A],Volt[V],VoltHi[V],VoltLo[V],Temp[°C],TermState,CellVolt[V],CellVoltHi[V],CellVoltLo[V],CellTemp[°C],(continued)
1460,0x000E,1,FALSE,72.75614,0.29198,0.18930,3.99280,NAN,NAN,10.50000
1470,0x000E,1,FALSE,73.20451,0.29377,0.18930,3.99270,NAN,NAN,10.50000
1480,0x000E,1,FALSE,73.70272,0.29576,0.18930,3.99240,NAN,NAN,10.60000
1490,0x000E,1,FALSE,74.20089,0.29775,0.18930,3.99220,NAN,NAN,10.60000
1500,0x000E,1,FALSE,74.69908,0.29973,0.18930,3.99200,NAN,NAN,10.60000
1510,0x000E,1,FALSE,75.19722,0.30172,0.18930,3.99180,NAN,NAN,10.60000
1520,0x000E,1,FALSE,75.74531,0.30391,0.18930,3.99160,NAN,NAN,10.60000
1530,0x000E,1,FALSE,76.24356,0.30590,0.18930,3.99140,NAN,NAN,10.70000
1540,0x000E,1,FALSE,76.74174,0.30789,0.18930,3.99120,NAN,NAN,10.70000
1550,0x000E,1,FALSE,77.24022,0.30988,0.18930,3.99090,NAN,NAN,10.60000
1560,0x000E,1,FALSE,77.68897,0.31167,0.18930,3.99070,NAN,NAN,10.60000
1570,0x000E,1,FALSE,78.18742,0.31366,0.18930,3.99050,NAN,NAN,10.50000
1580,0x000E,1,FALSE,78.68566,0.31564,0.18930,3.99030,NAN,NAN,10.30000
1590,0x000E,1,FALSE,79.18405,0.31763,0.18930,3.99000,NAN,NAN,10.20000
1600,0x000E,1,FALSE,79.73200,0.31982,0.18930,3.98970,NAN,NAN,10.10000
1610,0x000E,1,FALSE,80.23033,0.32181,0.18930,3.98940,NAN,NAN,9.90000
1620,0x000E,1,FALSE,80.72878,0.32380,0.18930,3.98920,NAN,NAN,9.80000
